場所名稱,縣市,鄉/鎮/市/區,村/里,大道/路/街/地區,段,巷/弄/衖,號,樓（之~）,電話,開放時間,注意事項,設置依據
國立宜蘭特殊教育學校,宜蘭縣,五結鄉,,國民中路,,,22-32號,,9509788,週一至週五上午8時至下午5時,無,自願設置
國立頭城高級家事商業職業學校,宜蘭縣,頭城鎮,,新興路,,,111號,,9771131轉195,週一至週五上午8時至下午5時,無,自願設置
梅花湖風景區,宜蘭縣,冬山鄉,,大埤路,,,1號,,9615576,週一至週五上午9時至下午5時,無,自願設置
清水地熱遊客中心,宜蘭縣,大同鄉,,三星路,8段,501巷,139號,,9894500,週一至週日上午9時至下午5時,無,自願設置
喜互惠批發量販生鮮超市文化店,宜蘭縣,宜蘭市,,民族路,,,426號,,9325000,營業時間,無,自願設置
喜互惠批發量販生鮮超市頭城店,宜蘭縣,頭城鎮,,開蘭路,,,339號,,9780000,營業時間,無,自願設置
聖母醫護管理專科學校,宜蘭縣,三星鄉,,三星路,2段,265巷,100號,,9897396,週一至週五上午8時至下午5時,無,自願設置
萬達光電科技股份有限公司宜蘭分公司,宜蘭縣,蘇澳鎮,,頂平路,,,22號,,9908282,週一至週五上午8時至下午5時,無,自願設置
鳩之澤溫泉,宜蘭縣,大同鄉,,,,燒水巷,25號,,9809603,週一至週日上午9時至下午7時,無,自願設置
臺北榮總員山分院-宜蘭市區門診 ,宜蘭縣,宜蘭市,,林森路,,,1號,5樓,9373939,門診時間,無,自願設置
臺灣塑膠工業股份有限公司冬山分廠,宜蘭縣,冬山鄉,東城村,東福路,,,201號 ,,99620361,營業時間,無,自願設置
蜡藝蜡筆城堡,宜蘭縣,蘇澳鎮,,海山西路,,,500號,,9907101,營業時間,無,自願設置
潭酵天地觀光工廠,宜蘭縣,礁溪鄉,龍潭村,漳福路,,,25號,,9289096,營業時間,無,自願設置
橘之鄉蜜餞觀光工廠,宜蘭縣,宜蘭市,,梅洲二路,,,33號,,9285758,營業時間,無,自願設置
頭城農場,宜蘭縣,頭城鎮,,更新路,,,125號,,9772222,週一至週五上午8時至下午5時,無,自願設置
礁溪轉運站,宜蘭縣,礁溪鄉,,礁溪路,6段,,17號,,9871008,週一至週日上午8時至下午5時,無,自願設置
礁溪轉運站旅遊服務中心,宜蘭縣,礁溪鄉,,公園路,,,16號,,9872998,週一至週日上午9時至下午5時,無,自願設置
薛長興工業股份有限公司,宜蘭縣,五結鄉,,西河一路,,128巷,27號,,9656699,週一至週五上午8時至下午5時,無,自願設置
醫療財團法人羅許基金會羅東博愛醫院,宜蘭縣,羅東鎮,,南昌街,,,83號,,9543131,門診時間,無,自願設置
羅東鎮立圖書館(李科永紀念館),宜蘭縣,羅東鎮,,純精路,1段,,88號,,9572505,開館時間,無,自願設置
羅東鎮立圖書館仁愛分館,宜蘭縣,羅東鎮,,復興路,三段 ,,159號,,9652522,開館時間,無,自願設置
羅東鎮立圖書館兒童美語館,宜蘭縣,羅東鎮,,民權路,,,110號,,9547092,開館時間,無,自願設置
瓏山林蘇澳冷熱泉度假飯店,宜蘭縣,蘇澳鎮,,中原路,,,301號,,9666666,營業時間,無,自願設置
蘇澳鎮社會福利大樓,宜蘭縣,蘇澳鎮,,隘丁路,,,36號,,9903421,週二至週日   上午8時   至下午5時,無,自願設置
蘭海歐義廚房,宜蘭縣,頭城鎮,,蘭博二路,,230巷,21號,,9775336,週一至週五上午11時至下午9時,餐廳,自願設置
蘭陽烏石港驛站,宜蘭縣,頭城鎮,,港墘路,,,60號,,9789078,週一至週五上午8時至下午5時,無,自願設置
頭城國小,宜蘭縣 ,頭城鎮,,開蘭路,,,282號,,9771011,週一至週五上午8時至下午5時,無,自願設置
中華紙漿股份有限公司,花蓮縣,吉安鄉,光華村,光華街,,,100號,,03-8421171,無對外開放,,自願設置
台泥DAKA和平微旅,花蓮縣,秀林鄉,,和平,,,263號,,03-8682369,週一至週日 9:00～20:00,,自願設置
花蓮慈濟醫院,花蓮縣,花蓮市,,中央路,3段,,707號,3樓(婦產科門診處),03-8561825,門診時間,,自願設置
門諾醫院,花蓮縣,花蓮市,,民權路,,,44號,2樓(婦、兒科門診處),03-8241234,門診時間,,自願設置
國立東華大學圖書館,花蓮縣,壽豐鄉,志學村,大學路,2段,,1號,,03-38632008,每天08:30-17:00,"需先至櫃台登記後,並由專人引領進入哺乳室",自願設置
金門迎賓館,金門縣,金湖鎮,山外里,山外,,,72-1號,,082-336576,週一至週日08:30-17:00,無,自願設置
金門酒廠(舊廠),金門縣,金城鎮,古城里,金門城,,,68號,,082-326064-6436,週一至週五08:30-17:00,無,自願設置
金門縣823戰史館,金門縣,金湖鎮,安民村,,,,1-10號,,082-330599,週一至週日08:30-17:00,無,自願設置
金門縣831特約茶室展示館,金門縣,金湖鎮,,小徑,,,126號,,082-337839,週一至週日08:30-17:00,無,自願設置
金門縣山外車站,金門縣,金湖鎮,,黃海路,,,90-1號,,082-332721,週一至週五08:00-17:30,無,自願設置
金門縣地政局,金門縣,金寧鄉,,仁愛新村,,,3號,,082-321177,週一至週五08:00-17:30,無,自願設置
金門縣金沙鎮公所,金門縣,金沙鎮,,環島東路,一,,112號,2樓,082-352150,週一至週五08:00-17:30,無,自願設置
金門縣金城鎮公所,金門縣,金城鎮,,民生路,,,2號,,082-325057,週一至週五08:00-17:30,無,自願設置
金門縣金湖托育資源中心-醫遊館,金門縣,金湖鎮,,林森路,,,2-7號,,082-336029,"週二至週日08:30-11:30
13:30-17:00",無,自願設置
金門縣金湖鎮公所,金門縣,金湖鎮,,林森路,,,2號,,082-332528,週一至週五08:00-17:30,無,自願設置
金門縣金寧鄉公所,金門縣,金寧鄉,仁愛新村,,,,1號,,082-325610,週一至週五08:00-17:30,無,自願設置
金門縣烈嶼鄉公所,金門縣,烈嶼鄉,,西路,,,60號,,082-362500,週一至週五08:00-17:30,無,自願設置
金門縣衛生局,金門縣,金湖鎮,,復興路,,,1-12號,,082-330697,週一至週五08:00-17:30,請登記並索取錀匙,自願設置
金門縣雙鯉湖溼地自然中心,金門縣,金寧鄉,,寧湖路,,,801號,,082-313271,週一至週日08:30-17:00,無,自願設置
金城鎮衛生所,金門縣,金城鎮,,民權路,,,147號,,082-325059,週一至週五08:00-17:00,無,自願設置
金湖飯店股份有限公司,金門縣,金湖鎮,,太湖路,二,,218號,,082-338688,全年無休,無,自願設置
金湖鎮衛生所,金門縣,金湖鎮,新湖里,市港六路,,,15號,,082-336662,"週一至週五08:30~11:30,13:30~16:30",,自願設置
家樂福金門店,金門縣,金寧鄉,,伯玉路二段,,,223號,,082-312015,週一至週日08:00-22:30,無,自願設置
國立金門大學,金門縣,金寧鄉,,大學路,,,1號,,082-313341,週一至週五08:00-17:30,請登記並索取錀匙,自願設置
jijibanana集元果觀光工廠,南投縣,集集鎮,富山里,大坪巷,,,38號,,049-2764562,週四至週一 上午9:00~下午17:00 (週三休息),,自願設置
九九峰動物樂園,南投縣,草屯鎮,富寮里,富頂路,一段,726巷,99號,,049-2565107,"週一至週五 上午9:00~下午17:00
週六至週日 上午9:00~下午17:30",,自願設置
九二咖啡故事館 ,南投縣,國姓鄉,柑林村,中正路,二段,,357號,,049-2720781,週四至週一 上午10:30~下午17:30 (週二、週三休息),,自願設置
九族文化村股份有限公司,南投縣,魚池鄉,大林村,,,金天巷,45號,,049-2898835,週一至週日 上午9:30~下午17:00,請自行前往哺乳室,自願設置
中華郵政股份有限公司南投郵局,南投縣,南投市,三和里,三和二路,,,30號,,049-2220162,"週一至週五 上午8:30~下午18:00
週六 上午9:00~12:00 (國定及例假日除外)",,自願設置
中華電信南投營運處中山大樓,南投縣,南投市,三民里,中山一街,,,6號,5樓,049-2236852,週一至週五 上午8:30~下午17:30,,自願設置
中華電信南投營運處民族機房,南投縣,南投市,平和里,民族路,,,160號,2樓,049-2239909,週一至週五 上午8:30~下午17:30,,自願設置
日月潭經典大飯店范特奇堡,南投縣,魚池鄉,魚池鄉,秀水路,,,69號,,049-2899999,全年無休,,自願設置
日月潭纜車股份有限公司,南投縣,魚池鄉,日月村,中正路,,,102號,,049-2850666,"週一至週五 上午8:00~下午17:00 
週六、週日 上午8:00~下午17:30                              ",,自願設置
水里蛇窯陶藝文化園區,南投縣,水里鄉,頂崁村,回窯路,,,16號,,049-2770967,"週四至週一 上午8:30~下午17:30
週二、週三休息",,自願設置
台灣自來水公司第四區管理處南投營運所,南投縣,南投市,嘉和里,彰南路,一段,,550號,,049-2222635,週一至週五 上午8:00~下午17:30 (國定及例假日除外),,自願設置
交通部公路局公路人員訓練所中部訓練中心,南投縣,南投市,內興里,光明一路,,,300號,,049-2339171,週一至週五 上午8:00~下午17:00,,自願設置
交通部觀光署日月潭國家風景區管理處-伊達邵遊客中心,南投縣,魚池鄉,日月村,文化街,,,127號,,049-2850289,週一至週日 上午9:00~下午17:00,,自願設置
交通部觀光署日月潭國家風景區管理處-埔里遊客中心,南投縣,埔里鎮,南村里,中山路,四段,,191號,,049-2916060,週一至週日 上午9:00~下午17:00,,自願設置
竹山文化園區,南投縣,竹山鎮,硘磘里,建國路,,,742號,,049-2660192,週三至週一 上午9:00~下午17:30 (週二休息),,自願設置
佑民醫療社團法人佑民醫院,南投縣,草屯鎮,上林里,太平路,一段,,200號,,049-2358151,週一至週五  上午8:00~晚上22:00,,自願設置
杉林溪遊樂事業股份有限公司,南投縣,竹山鎮,大鞍里,溪山路,,,6號,, 049-2611217,全年無休,請洽大廳服務櫃檯,自願設置
妮娜有限公司-妮娜巧克力觀光工廠,南投縣,埔里鎮,桃米里,桃米路,,,32號,,049-2919528,週一至週日  上午9:00~下午18:00,,自願設置
松柏嶺受天宮,南投縣,名間鄉,松山村,松山街,,,118號,,049-2581008 ,全年無休,,自願設置
信義鄉農會梅子夢工廠,南投縣,信義鄉,明德村,,,新開巷,11號,,049-2791949,週一至週日 上午8:30~下午17:00,,自願設置
南投縣中寮鄉衛生所,南投縣,中寮鄉,永平村,永昌街,,,102號,,049-2691404,"週一至週五 上午8:00-12:00 下午13:00-17:00
(國定及例假日除外)",請自行前往哺乳室,自願設置
南投縣水里地政事務所,南投縣,水里鄉,南光村,六合路,,,19號,,049-2772135,"週一至週五 上午8:00~12:00 下午13:00~17:00
(國定及例假日除外)",請至1樓入口處服務台登記,自願設置
南投縣名間鄉衛生所,南投縣,名間鄉,中正村,彰南路,,,42號,,049-2732135,"週一至週五 上午8:00~12:00 下午13:00~17:00
(國定及例假日除外)",,自願設置
南投縣竹山鎮竹圍公辦民營托嬰中心,南投縣,竹山鎮,竹圍里,大禮路,,,50號,1樓,049-2661345,週一至週五 上午8:00~下午17:00 (國定及例假日除外),,自願設置
南投縣草屯鎮衛生所,南投縣,草屯鎮,中山里,草溪路,,882巷,7號,,049-2362023,週一至週五 上午8:00~下午17:30 (國定及例假日除外),,自願設置
南投縣爽文國小,南投縣,中寮鄉,爽文村,龍南路,,,159號,,049-2601003,"週一至週五 上午8:00~12:00 下午13:00~17:00
(國定及例假日除外)",,自願設置
南投縣魚池鄉衛生所,南投縣,魚池鄉,東池村,魚池街,,,194號 ,2樓,049-2895513,"週一至週五 上午8:00~12:00 下午13:00~17:00
(國定及例假日除外)",,自願設置
南投縣集集鎮衛生所,南投縣,集集鎮,玉映里,民生路,,,106號,,049-2762015,"週一至週五 上午8:00~12:00  下午13:00~17:00
(國定及例假日除外)",,自願設置
美時化學製藥股份有限公司,南投縣,南投市,新興里,成功一路,,,30號,,049-2250411,週一至 上午8:00~下午17:30 (國定及例假日除外),,自願設置
"茂順密封元件科技
股份有限公司",南投縣,南投市,平山里,工業路,,,336號,,049-2255011,週一至週五 上午8:00~下午17:00 (國定及例假日除外),,自願設置
茆師父洋菓子工房有限公司-18度C巧克力工房,南投縣,埔里鎮,枇杷里,慈恩街,,,20號,,049-2984863,"週一至週五 上午10:00~下午18:00 
週六~週日 上午10:00~晚上19:00",,自願設置
埔基醫療財團法人埔里基督教醫院,南投縣,埔里鎮,鐵山里,鐵山路,,,1號,,049-2912151,"週一至週五 上午8:00~12:00  下午13:00~17:30
為維護病人就醫安全及提供寧靜之醫療空間，
門禁管制時間 晚上22：00至隔日上午 6：00",,自願設置
家樂福股份有限公司埔里分公司,南投縣,埔里鎮,大城里,信義路,,,1029號,,049-2912088,週一至週日 上午9:00~晚上23:00,,自願設置
"泰谷光電科技
股份有限公司",南投縣,南投市,平山里,自強三路,,,18號,,049-2261226,週一至週五 上午8:00~下午17:30,,自願設置
國立水里高級商工職業學校,南投縣,水里鄉,永豐村,南湖路,,,2號,,049-2870666,週一至週日 上午8:00~下午17:00,,自願設置
國立自然科學博物館-鳳凰谷鳥園生態園區,南投縣,鹿谷鄉,鳳凰村,仁義路,,,1-9號,, 049-2753100,週二至週日 上午9:00~下午17:00,,自願設置
國軍退除役官兵輔導委員會清境農場國民賓館,南投縣,仁愛鄉,定遠新村,,,,25號,,049-2802748,全年無休,,自願設置
國泰人壽保險股份有限公司南投縣分公司,南投縣,草屯鎮,炎峰里,中正路,,,613號,1樓,049-2313103 ,週一至週五 上午8:00~下午17:00 (國定及例假日除外),,自願設置
陸軍兵工整備發展中心,南投縣,集集鎮,田寮里,,,龍泉巷,15號,,049-2781693,全年無休,設置於醫務所,自願設置
鹿谷鄉農會茶業文化館,南投縣,鹿谷鄉,彰雅村,中正路,一段,,231號,, 049-2751962,週一至週日 上午9:00~下午17:00,,自願設置
溪頭米堤飯店,南投縣,鹿谷鄉,內湖村,米堤街,,,1號,,049-2612211,週一至週五 上午8:00~下午17:00,,自願設置
彰化基督教醫療財團法人南投基督教醫院,南投縣,南投市,嘉和里,中興路,,,870號,,049-2225595,週一至週五 上午8:00~下午17:30,,自願設置
榮高育樂股份有限公司 - 泰雅渡假村,南投縣,國姓鄉,北港村,北原路,,,56-2號,,049-2461311,週一至週日 上午9:30~下午17:00,請自行前往哺乳室,自願設置
衛生福利部南投啟智教養院,南投縣,名間鄉,仁和村,,,山腳巷,1-7號,, 049-2730601,"週一至週五 上午8:00~12:00 下午13:30~17:00
(國定及例假日除外)",請洽大廳服務櫃檯,自願設置
環鴻科技股份有限公司-南投廠,南投縣,南投市,平山里,工業路,,,330號,,049-2212699,週一至週五 上午8:00~下午17:30 (國定及例假日除外),,自願設置
環鴻科技股份有限公司-草屯廠,南投縣,草屯鎮,上林里,太平路,一段,351巷,135號,,049-2212700,週一至週五 上午8:00~下午17:30 (國定及例假日除外),,自願設置
東海派出所,屏東縣,枋寮鄉,東海村,東林路,,,717號,,08-8712920,週一至週日24小時開放,1.直接與服務台值班人員接洽,自願設置
枋寮鄉衛生所,屏東縣,枋寮鄉,枋寮村,德興路,,,77號,,,週一~週五0800-1200/1330~1700,國定例假日暫停開放,自願設置
建興國小,屏東縣,枋寮鄉,人和村,建興路,,,39號,,08-8713562＃14,週一~週五0800-1200、1330~1600,1.國定例假日暫停開放2.與輔導室人員接洽即可,自願設置
縣立枋寮高中,屏東縣,枋寮鄉,新龍村,義民路,,,3號,,"08-8782095
分機15",週一至週五8：00-16：00 ,"1.國定例假日暫停開放
2.與輔導室人員接洽即可",自願設置
力晶積成電子製造股份影線公司-銅鑼廠,苗栗縣,銅鑼鄉,九湖村,銅科七路,12鄰,,8號,4樓,037-986000*5119,週一至週五8:00-17:00,請自行前往哺乳室並登記,自願設置
三義丫箱寶,苗栗縣,三義鄉,廣盛村,重河路,,,176號,,037-872076,週一至週五9:00-17:00      例假日9:00-18:00,請自行前往哺乳室並登記,自願設置
大千綜合醫院,苗栗縣,苗栗市,恭敬里,恭敬路,,,36號,,037-357125#73038,週一至週六8:00~22:00,請自行前往哺乳室並登記,自願設置
大埔內彈珠汽水觀光工廠,苗栗縣,銅鑼鄉,銅鑼村,自強路,24鄰,,18號,,037-984678,週一至週日10:00-17:00,"為維護參觀品質，請民眾
下午4：50前入園參觀",自願設置
大湖地政事務所,苗栗縣,大湖鄉,明湖村,博愛街,,,35號,1樓,037-994101*313,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
大順醫院,苗栗縣,大湖鄉,大湖村,中山路,,,71號,,037-997666,週一至週日8:30-17:00,請自行前往哺乳室並登記,自願設置
中國石油化學工業開發股份有限公司-頭份廠,苗栗縣,頭份市,,自強路,二段,,217號,,037-623381*236,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
中磊電子股份有限公司,苗栗縣,竹南鎮,公義里,友義路,,,81號,,037-585899*3630,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
太平洋醫材股份有限公司,苗栗縣,銅鑼鄉,九湖村,銅科二路,,,8號,,037-987979*5119,週一至週五8:00-17:00      ,請自行前往哺乳室並登記,自願設置
文林國中,苗栗縣,銅鑼鄉,朝陽村,文化街,,,12號,,037-981048,週一至週五8:00-16:00,請自行前往哺乳室並登記,自願設置
台灣中油股份有限公司探採事業部採油工程處,苗栗縣,公館鄉,開礦村,,,,36號,,037-221300*212,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
正達光電股份有限公司,苗栗縣,銅鑼鄉,中平村,中興路,,,"99號
(中興工業區)",,037-236988*70119,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
生命之愛文教基金會苗栗婦幼服務中心,苗栗縣,苗栗市,,金鳳街,,,22號,,037-326823,週一至週五8:00-17:00,請自行前往哺乳室並登記,自願設置
立康生醫事業股份有限苗栗分公司,苗栗縣,頭份市,蘆竹里,工業路,,,55號,,037-613496,週一至週日8:30-17:30,請自行前往哺乳室並登記,自願設置
年興紡織股份有限公司,苗栗縣,後龍鎮,東明里,,,,下浮尾119-3號,,037-728711*238,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
阡鴻實業股份有限公司,苗栗縣,公館鄉,玉泉村,,,,182號,,037-224370*2402,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
坪頂國小,苗栗縣,通霄鎮,坪頂里,,,,50號,,037-782214,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
尚順育樂世界,苗栗縣,頭份市,,,,,育樂6號,,037-539555,週一至週五11:00-21:00,請自行前往哺乳室並登記,自願設置
尚順購物中心,苗栗縣,頭份市,,,,,育樂6號,,037-539555,週一至週五11:00-21:00,請自行前往哺乳室並登記,自願設置
花露休閒農場,苗栗縣,卓蘭鎮,坪林里,,,,43-3號,,04-25891589,週一至週日9:00-17:00  每週三休假日,請自行前往哺乳室並登記,自願設置
冠軍磁磚股份有限公司-造橋廠,苗栗縣,造橋鄉,豐湖村,,1鄰,,乳姑山2號,,037-561761#2317,週一至週五8:00-17:00,提供員工使用並請自行前往哺乳室登記,自願設置
姜太公中部道場,苗栗縣,銅鑼鄉,銅鑼村,龍泉,26鄰,,15號,,0938-813638,週一至週日8:30-17:00,請自行前往哺乳室並登記,自願設置
洪晟金屬,苗栗縣,通霄鎮,通灣里,,,,101-6號,,037-765345*321,週一至週日8:00~17:00,請自行前往哺乳室並登記,自願設置
為恭醫療社團法人為恭紀念醫院,苗栗縣,頭份市,,信義路,,,128號,,037-676811,週一至週日8:00~17:00,請自行前往哺乳室並登記,自願設置
苑裡國小,苗栗縣,苑裡鎮,,中山路,,,307號,,037-861013#28,週一至週五8:00~17:00,總務室有鑰鎖可使用,自願設置
苗栗縣警察局-大湖分局獅潭鄉分駐所,苗栗縣,獅潭鄉,新店村,,7鄰,,63號,,037-931348,週一至週五8:00-17:00,請自行前往哺乳室並登記,自願設置
飛牛牧場,苗栗縣,通霄鎮,南和里,,,,166號,,"037-782844
037-782999#138","週一至週五8:00~17:00
假日有活動仍可以開放使用",請自行前往哺乳室並登記,自願設置
烏眉國中,苗栗縣,通霄鎮,內湖里,,,,5-1號,,037-752409#19                                                                                                                       ,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
財團法人苗栗縣私立海青老人養護中心,苗栗縣,通霄鎮,坪頂里,,,,142-5號,,037-783409,週一至週日8:00~17:00,請自行前往哺乳室並登記,自願設置
財團法人國家衛生研究院,苗栗縣,竹南鎮,頂埔里,科研路,,,35號,,037-246166*39922,週一至週五7:00~19:00,哺乳室設有登記本,自願設置
啟明國民小學,苗栗縣,通霄鎮,內島里,,,,15號,,037-792537,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
啟新國中,苗栗縣,通霄鎮,白東里,,,,135-2號,,037-792804#22,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
國立苑裡高中,苗栗縣,苑裡鎮,,育才街,,,100號,,037-868680#301,週一至週五8:00~17:00,通知總務室開鎖，需登記,自願設置
通霄地政事務所,苗栗縣,通霄鎮,通東里,中正路,,,12之2號,,037-757261,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
通霄國小,苗栗縣,通霄鎮,,中正路,,,12號,,037-752008 ,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
通霄國中,苗栗縣,通霄鎮,,中山路,,190巷,1號,,037-752002#28,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
通霄鎮立幼兒園,苗栗縣,通霄鎮,平元里,南和路,1段,36巷,11號,,037-762511#9,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
超豐電子股份有限公司,苗栗縣,竹南鎮,佳興里,公義路,,,136號,,037-638568*1303,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
超豐電子股份有限公司,苗栗縣,頭份市,,中民路,,,9號,,037-638568*1303,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
雅聞七里香玫瑰森林,苗栗縣,頭屋鄉,明德村,明德路,,,226號,,037-256588,週一至週日8:30-17:00,請自行前往哺乳室並登記,自願設置
雅聞香草植物工廠,苗栗縣,三義鄉,西湖村,八櫃,,,42號,,037-879818,週一至週五8:30-17:00      例假日8:30-17:30,請自行前往哺乳室並登記,自願設置
新埔國小,苗栗縣,通霄鎮,新埔里,,,,55號,,037-792094,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
瑞士商格蘭富股份有限公司,苗栗縣,銅鑼鄉,銅鑼村,民有路,,,14號,,037-985015,"週一至週五8:00~16:30
(只開放給員工與廠商)",請自行前往哺乳室並登記,自願設置
群創光電股份有限公司（T3廠）,苗栗縣,竹南鎮,,科中路,,,12號,,"037-586393#21995
037-586000*62659",週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
裕隆汽車製造公司車之道體驗公司,苗栗縣,三義鄉,,尖豐公路,,,39-1號,,037-871801*2188,週一至週五8:30-17:00      ,請自行前往哺乳室並登記,自願設置
鼎元光電股份有限公司,苗栗縣,竹南鎮,科學園區,科中路,,,15號,,037-582997,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
鼎元光電科技股份有限公司-竹南分公司,苗栗縣,竹南鎮,,仁愛路,,,1387號,,037-582997,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
福興國小,苗栗縣,通霄鎮,福興里,,,,58之2號,,037-782984,週一至週五8:00~16:00,請自行前往哺乳室並登記,自願設置
臺灣電力公司-卓蘭景山里發電廠,苗栗縣,卓蘭鎮,景山里,,,,電廠1號,,04-25921293#351,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
銅鑼地政事務所,苗栗縣,銅鑼鄉,福興村,平陽路,11鄰,,46-2號,1樓,037-984131,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
億光電子工業股份公司-銅鑼廠,苗栗縣,銅鑼鄉,中平村,中興路,26鄰,,26號,,037-239588#1117,週一至週五8:00-17:00      ,請自行前往哺乳室並登記,自願設置
億光電子工業股份有限公司-苑裡廠,苗栗縣,苑裡鎮,玉田里,,,國光巷,35號,,037-239588*1121,週一至週日24小時,內部員工使用,自願設置
頭屋鄉戶政事務所,苗栗縣,頭屋鄉,頭屋村,中山街,,,17-1號,,037-250437,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
頭屋鄉衛生所,苗栗縣,頭屋鄉,頭屋村,中山街,,,54號,,037-253534,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
聯合再生能源科技股份有限公司,苗栗縣,竹南鎮,頂埔里,科研路,,,66號,,037-586198*56995,週一至週五8:00~17:00,請自行前往哺乳室並登記,自願設置
聯府塑膠股份有限公司,苗栗縣,銅鑼鄉,銅鑼村,自強路,24鄰,,18號,,037-984268,週一至週五8:00-17:00,請自行前往哺乳室並登記,自願設置
蘇維拉莊園,苗栗縣,南庄鄉,,四灣,15鄰,,92號,,037-823328,週一至週日8:00~17:00,請自行前往哺乳室並登記,自願設置
大園敏盛醫院,桃園市,大園區,,華中街,,,2號,,03-3867521分機605,"週一至週五上午8時至晚間9時；
週六上午8時至中午12時",請洽服務人員,自願設置
大園親子館,桃園市,大園區,,和平東路,,,89號,3樓,03-3863316分機41,週二至週日上午9時至下午5時,請洽服務人員,自願設置
中台資源科技股份有限公司,桃園市,觀音區,大潭里,環科路,,,328號,,03-4730068,全天候開放,請洽服務人員,自願設置
中美醫院,桃園市,中壢區,,中美路,,,95號,,03-4266222分機562,全年無休,請洽服務人員,自願設置
中原大學,桃園市,中壢區,,中北路,,,200號,,03-2651916,週一至週五上午8時30分至下午5時,請洽服務人員,自願設置
中壢天祥醫院,桃園市,中壢區,五權里,志廣路,,,119號,,03-4951866分機72518,週一至週五上午8時至晚間9時,請洽服務人員,自願設置
仁祥醫院,桃園市,中壢區,,中美路,,,15號,,03-2804203,週一至週五上午8時至中午12時；下午2時至4時,請洽服務人員,自願設置
公設民營八德瑞泰托嬰中心,桃園市,八德區,,介壽路,2段,583巷,14號,2樓,03-3689929,週一至週五上午7時30分至晚間6時,請洽服務人員,自願設置
公設民營大園托嬰中心,桃園市,大園區,,中正西路,,,19號,3樓,03-3843866,週一至週五上午7時至晚間6時,請洽服務人員,自願設置
公設民營中壢過嶺托嬰中心,桃園市,中壢區,,松勇2街,,,61號,3樓,03-4201320分機11,週一至週五上午9時至下午5時,請洽服務人員,自願設置
公設民營新屋托嬰中心,桃園市,新屋區,,中山路,,,269號,2樓,03-4971720,週一至週五上午7時30分晚間7時,請洽服務人員,自願設置
公設民營楊梅托嬰中心,桃園市,楊梅區,,大模街,,,10號,3樓,03-4881662,週一至週五上午7時30分至晚間6時,請洽服務人員,自願設置
公設民營龜山托嬰中心,桃園市,龜山區,,同心2路,,,17號,,03-2133366,週一至週五上午8時至下午5時,請洽服務人員,自願設置
天成醫院,桃園市,楊梅區,,中山北路,1段,,356號,,03-4788235,週一至週五上午8時至晚間9時；週六上午8時至中午12時,請洽服務人員,自願設置
天成醫療社團法人天晟醫院,桃園市,中壢區,,延平路,,,155號,,03-4629292分機28809,全年無休,請洽服務人員,自願設置
太平洋自行車股份有限公司,桃園市,新屋區,永安里,下庄子,,,236號,,03-4861231分機235,週一至週五上午8時至下午5時,請洽服務人員,自願設置
手信坊股份有限公司桃園廠,桃園市,龍潭區,北興里,中興路,,18巷,115、117號,,03-4797599分機906  ,週一至週五上午8時至下午5時,請洽服務人員,自願設置
台融電子有限公司,桃園市,八德區,,後庄街,,33巷,6號,,03-3775148,週一至週五上午8時至下午5時,請洽服務人員,自願設置
台灣自來水股份有限公司第二區管理處楊梅服務所,桃園市,楊梅區,,楊新路,,18巷,2號,,03-4789261分機207,週一至週五上午8時至下午5時,請洽服務人員,自願設置
台灣雅聞生技股份有限公司,桃園市,楊梅區,水美里,楊新路,1段,382巷,68號,1樓,03-4780201分機141,週一至週五上午8時30時至下午5時,請洽服務人員,自願設置
巨竹企業股份有限公司,桃園市,大園區,北港里,港仔嘴,,,2-8號,,03-3867725,週一至週五上午8時至下午5時30分,請洽服務人員,自願設置
全新光電科技股份有限公司,桃園市,平鎮區,湧豐里,工業1路,,,16號,,03-4192969,週一至週五上午8時至下午5時,請洽服務人員,自願設置
